sugar_level,ph_level,alcohol_level,fixed acidity,volatile acidity,citric acid,chlorides,free sulfur dioxide,total sulfur dioxide,density,sulphates,class
> 3.0,3.25 - 3.50,10.5 - 11.0,7.2,0.725,0.05,0.086,4.0,11.0,0.9962,0.39,low
<= 1.5,3.25 - 3.50,9.5 - 10.0,7.5,0.52,0.11,0.079,11.0,39.0,0.9968,0.58,low
1.5 - 2.0,3.25 - 3.50,10.5 - 11.0,6.6,0.705,0.07,0.076,6.0,15.0,0.9962,0.58,low
1.5 - 2.0,3.25 - 3.50,10.5 - 11.0,9.3,0.32,0.57,0.07400000000000001,27.0,65.0,0.9969,0.79,low
1.5 - 2.0,3.25 - 3.50,10.0 - 10.5,8.0,0.705,0.05,0.07400000000000001,8.0,19.0,0.9962,0.95,high
1.5 - 2.0,3.25 - 3.50,9.0 - 9.5,7.7,0.63,0.08,0.076,15.0,27.0,0.9967,0.54,high
2.0 - 2.5,3.25 - 3.50,9.0 - 9.5,7.7,0.67,0.23,0.08800000000000001,17.0,96.0,0.9962,0.48,low
1.5 - 2.0,3.25 - 3.50,9.0 - 9.5,7.7,0.69,0.22,0.084,18.0,94.0,0.9961,0.48,low
2.0 - 2.5,3.25 - 3.50,9.0 - 9.5,8.3,0.675,0.26,0.084,11.0,43.0,0.9976,0.53,low
2.0 - 2.5,3.25 - 3.50,9.5 - 10.0,9.7,0.32,0.54,0.094,28.0,83.0,0.9984,0.82,low
2.0 - 2.5,3.50 - 3.75,10.0 - 10.5,8.8,0.41,0.64,0.09300000000000001,9.0,42.0,0.9986,0.66,low
2.0 - 2.5,3.50 - 3.75,10.0 - 10.5,8.8,0.41,0.64,0.09300000000000001,9.0,42.0,0.9986,0.66,low
2.0 - 2.5,3.50 - 3.75,10.5 - 11.0,6.8,0.785,0.0,0.10400000000000001,14.0,30.0,0.9966,0.55,high
1.5 - 2.0,3.25 - 3.50,10.0 - 10.5,6.7,0.75,0.12,0.086,12.0,80.0,0.9958,0.52,low
<= 1.5,3.00 - 3.25,9.0 - 9.5,8.3,0.625,0.2,0.08,27.0,119.0,0.9972,1.12,low
1.5 - 2.0,3.25 - 3.50,9.0 - 9.5,6.2,0.45,0.2,0.069,3.0,15.0,0.9958,0.56,low
1.5 - 2.0,3.00 - 3.25,9.0 - 9.5,7.8,0.43,0.7,0.46399999999999997,22.0,67.0,0.9974,1.28,low
1.5 - 2.0,3.25 - 3.50,9.0 - 9.5,7.4,0.5,0.47,0.086,21.0,73.0,0.997,0.57,low
1.5 - 2.0,3.00 - 3.25,9.0 - 9.5,7.3,0.67,0.26,0.401,16.0,51.0,0.9969,1.14,low
1.5 - 2.0,3.25 - 3.50,10.0 - 10.5,6.3,0.3,0.48,0.069,18.0,61.0,0.9959,0.78,high
2.0 - 2.5,3.25 - 3.50,10.0 - 10.5,6.9,0.55,0.15,0.076,19.0,40.0,0.9961,0.59,low
1.5 - 2.0,2.74 - 3.00,9.5 - 10.0,8.6,0.49,0.28,0.11,20.0,136.0,0.9972,1.95,high
1.5 - 2.0,3.25 - 3.50,9.5 - 10.0,7.7,0.49,0.26,0.062,9.0,31.0,0.9966,0.64,low
2.0 - 2.5,3.00 - 3.25,9.0 - 9.5,9.3,0.39,0.44,0.107,34.0,125.0,0.9978,1.22,low
1.5 - 2.0,3.25 - 3.50,<= 9.0,7.0,0.62,0.08,0.076,8.0,24.0,0.9978,0.53,low
1.5 - 2.0,3.00 - 3.25,9.0 - 9.5,7.9,0.52,0.26,0.079,42.0,140.0,0.9964,0.54,low
1.5 - 2.0,2.74 - 3.00,9.5 - 10.0,8.6,0.49,0.28,0.11,20.0,136.0,0.9972,1.95,high
1.5 - 2.0,2.74 - 3.00,9.5 - 10.0,8.6,0.49,0.29,0.11,19.0,133.0,0.9972,1.98,low
1.5 - 2.0,3.25 - 3.50,9.5 - 10.0,7.7,0.49,0.26,0.062,9.0,31.0,0.9966,0.64,low
<= 1.5,3.50 - 3.75,10.0 - 10.5,5.0,1.02,0.04,0.045,41.0,85.0,0.9938,0.48,low
2.0 - 2.5,3.50 - 4.01,> 12.0,4.7,0.6,0.17,0.057999999999999996,17.0,106.0,0.9932,0.6,high
2.5 - 3.0,3.25 - 3.50,10.5 - 11.0,6.8,0.775,0.0,0.102,8.0,23.0,0.9965,0.56,low
1.5 - 2.0,3.00 - 3.25,9.0 - 9.5,7.0,0.5,0.25,0.07,3.0,22.0,0.9963,0.63,low
2.0 - 2.5,3.25 - 3.50,9.5 - 10.0,7.6,0.9,0.06,0.079,5.0,10.0,0.9967,0.56,low
1.5 - 2.0,3.25 - 3.50,<= 9.0,8.1,0.545,0.18,0.08,13.0,35.0,0.9972,0.59,high
2.0 - 2.5,3.25 - 3.50,10.0 - 10.5,8.3,0.61,0.3,0.084,11.0,50.0,0.9972,0.61,high
1.5 - 2.0,3.25 - 3.50,10.0 - 10.5,7.8,0.5,0.3,0.075,8.0,22.0,0.9959,0.56,high
1.5 - 2.0,3.25 - 3.50,<= 9.0,8.1,0.545,0.18,0.08,13.0,35.0,0.9972,0.59,high
2.0 - 2.5,3.25 - 3.50,9.0 - 9.5,8.1,0.575,0.22,0.077,12.0,65.0,0.9967,0.51,low
2.0 - 2.5,3.25 - 3.50,9.0 - 9.5,7.2,0.49,0.24,0.07,5.0,36.0,0.996,0.48,low
2.0 - 2.5,3.25 - 3.50,9.0 - 9.5,8.1,0.575,0.22,0.077,12.0,65.0,0.9967,0.51,low
1.5 - 2.0,3.00 - 3.25,9.0 - 9.5,7.8,0.41,0.68,0.467,18.0,69.0,0.9973,1.31,low
1.5 - 2.0,3.25 - 3.50,9.0 - 9.5,6.2,0.63,0.31,0.08800000000000001,15.0,64.0,0.9969,0.79,low
2.0 - 2.5,3.25 - 3.50,9.5 - 10.0,8.0,0.33,0.53,0.091,18.0,80.0,0.9976,0.8,high
1.5 - 2.0,3.00 - 3.25,9.0 - 9.5,8.1,0.785,0.52,0.122,37.0,153.0,0.9969,0.69,low
1.5 - 2.0,3.00 - 3.25,9.0 - 9.5,7.8,0.56,0.19,0.10400000000000001,12.0,47.0,0.9964,0.93,low
2.0 - 2.5,3.00 - 3.25,9.5 - 10.0,8.4,0.62,0.09,0.084,11.0,108.0,0.9964,0.66,low
2.0 - 2.5,3.00 - 3.25,9.5 - 10.0,8.4,0.6,0.1,0.085,14.0,111.0,0.9964,0.66,low
2.0 - 2.5,3.25 - 3.50,9.5 - 10.0,10.1,0.31,0.44,0.08,22.0,46.0,0.9988,0.67,high
1.5 - 2.0,3.00 - 3.25,9.0 - 9.5,7.8,0.56,0.19,0.10400000000000001,12.0,47.0,0.9964,0.93,low
2.0 - 2.5,3.00 - 3.25,10.0 - 10.5,9.4,0.4,0.31,0.09,13.0,62.0,0.9966,0.63,high
1.5 - 2.0,3.25 - 3.50,9.5 - 10.0,8.3,0.54,0.28,0.077,11.0,40.0,0.9978,0.61,high
1.5 - 2.0,3.25 - 3.50,9.0 - 9.5,7.8,0.56,0.12,0.08199999999999999,7.0,28.0,0.997,0.5,high
2.0 - 2.5,3.00 - 3.25,10.5 - 11.0,8.8,0.55,0.04,0.11900000000000001,14.0,56.0,0.9962,0.6,high
1.5 - 2.0,3.25 - 3.50,9.0 - 9.5,7.0,0.69,0.08,0.09699999999999999,22.0,89.0,0.9959,0.54,high
1.5 - 2.0,3.25 - 3.50,<= 9.0,7.3,1.07,0.09,0.17800000000000002,10.0,89.0,0.9962,0.57,low
2.0 - 2.5,3.00 - 3.25,10.5 - 11.0,8.8,0.55,0.04,0.11900000000000001,14.0,56.0,0.9962,0.6,high
2.0 - 2.5,3.25 - 3.50,9.0 - 9.5,7.3,0.695,0.0,0.075,3.0,13.0,0.998,0.52,low
2.5 - 3.0,3.25 - 3.50,9.0 - 9.5,8.0,0.71,0.0,0.08,11.0,34.0,0.9976,0.53,low
1.5 - 2.0,3.25 - 3.50,9.0 - 9.5,7.8,0.5,0.17,0.08199999999999999,21.0,102.0,0.996,0.48,low
1.5 - 2.0,3.00 - 3.25,9.0 - 9.5,9.0,0.62,0.04,0.146,27.0,90.0,0.9984,0.7,low
1.5 - 2.0,3.50 - 3.75,10.5 - 11.0,8.2,1.33,0.0,0.081,3.0,12.0,0.9964,0.49,low
1.5 - 2.0,3.50 - 3.75,10.5 - 11.0,8.1,1.33,0.0,0.08199999999999999,3.0,12.0,0.9964,0.48,low
1.5 - 2.0,3.25 - 3.50,10.0 - 10.5,8.0,0.59,0.16,0.065,3.0,16.0,0.9962,0.92,high
1.5 - 2.0,3.25 - 3.50,9.0 - 9.5,6.1,0.38,0.15,0.07200000000000001,6.0,19.0,0.9955,0.57,low
1.5 - 2.0,3.00 - 3.25,9.0 - 9.5,8.0,0.745,0.56,0.11800000000000001,30.0,134.0,0.9968,0.66,low
2.0 - 2.5,3.50 - 3.75,> 12.0,5.6,0.5,0.09,0.049,17.0,99.0,0.9937,0.63,low
2.0 - 2.5,3.50 - 3.75,> 12.0,5.6,0.5,0.09,0.049,17.0,99.0,0.9937,0.63,low
<= 1.5,3.25 - 3.50,9.5 - 10.0,6.6,0.5,0.01,0.06,17.0,26.0,0.9952,0.58,high
2.0 - 2.5,3.00 - 3.25,9.5 - 10.0,7.9,1.04,0.05,0.084,13.0,29.0,0.9959,0.55,high
1.5 - 2.0,3.00 - 3.25,9.5 - 10.0,8.4,0.745,0.11,0.09,16.0,63.0,0.9965,0.82,low
1.5 - 2.0,3.00 - 3.25,9.0 - 9.5,8.3,0.715,0.15,0.08900000000000001,10.0,52.0,0.9968,0.77,low
1.5 - 2.0,3.25 - 3.50,9.0 - 9.5,7.2,0.415,0.36,0.081,13.0,45.0,0.9972,0.64,low
2.0 - 2.5,3.25 - 3.50,9.0 - 9.5,7.8,0.56,0.19,0.081,15.0,105.0,0.9962,0.54,low
1.5 - 2.0,3.25 - 3.50,9.0 - 9.5,7.8,0.56,0.19,0.081,17.0,108.0,0.9962,0.54,low
1.5 - 2.0,3.00 - 3.25,9.5 - 10.0,8.4,0.745,0.11,0.09,16.0,63.0,0.9965,0.82,low
1.5 - 2.0,3.00 - 3.25,9.0 - 9.5,8.3,0.715,0.15,0.08900000000000001,10.0,52.0,0.9968,0.77,low
1.5 - 2.0,3.50 - 3.75,> 12.0,5.2,0.34,0.0,0.05,27.0,63.0,0.9916,0.79,high
1.5 - 2.0,3.25 - 3.50,9.0 - 9.5,6.3,0.39,0.08,0.066,3.0,20.0,0.9954,0.58,low
1.5 - 2.0,3.50 - 3.75,> 12.0,5.2,0.34,0.0,0.05,27.0,63.0,0.9916,0.79,high
1.5 - 2.0,3.00 - 3.25,9.0 - 9.5,8.1,0.67,0.55,0.11699999999999999,32.0,141.0,0.9968,0.62,low
1.5 - 2.0,3.50 - 3.75,9.5 - 10.0,5.8,0.68,0.02,0.087,21.0,94.0,0.9944,0.52,low
1.5 - 2.0,3.00 - 3.25,9.0 - 9.5,7.6,0.49,0.26,0.23600000000000002,10.0,88.0,0.9968,0.8,low
2.0 - 2.5,3.25 - 3.50,10.0 - 10.5,6.9,0.49,0.1,0.07400000000000001,12.0,30.0,0.9959,0.58,high
2.5 - 3.0,3.50 - 3.75,10.0 - 10.5,8.2,0.4,0.44,0.08900000000000001,11.0,43.0,0.9975,0.61,high
2.0 - 2.5,3.25 - 3.50,10.0 - 10.5,7.3,0.33,0.47,0.077,5.0,11.0,0.9958,0.53,high
> 3.0,2.74 - 3.00,9.0 - 9.5,9.2,0.52,1.0,0.61,32.0,69.0,0.9996,2.0,low
1.5 - 2.0,3.25 - 3.50,10.0 - 10.5,7.5,0.6,0.03,0.095,25.0,99.0,0.995,0.54,low
1.5 - 2.0,3.25 - 3.50,10.0 - 10.5,7.5,0.6,0.03,0.095,25.0,99.0,0.995,0.54,low
> 3.0,3.25 - 3.50,10.0 - 10.5,7.1,0.43,0.42,0.07,29.0,129.0,0.9973,0.72,low
> 3.0,3.25 - 3.50,10.0 - 10.5,7.1,0.43,0.42,0.071,28.0,128.0,0.9973,0.71,low
> 3.0,3.25 - 3.50,10.0 - 10.5,7.1,0.43,0.42,0.07,29.0,129.0,0.9973,0.72,low
> 3.0,3.25 - 3.50,10.0 - 10.5,7.1,0.43,0.42,0.071,28.0,128.0,0.9973,0.71,low
2.0 - 2.5,3.25 - 3.50,9.0 - 9.5,7.1,0.68,0.0,0.073,12.0,22.0,0.9969,0.5,low
1.5 - 2.0,3.50 - 3.75,9.0 - 9.5,6.8,0.6,0.18,0.079,18.0,86.0,0.9968,0.57,high
1.5 - 2.0,3.00 - 3.25,9.5 - 10.0,7.6,0.95,0.03,0.09,7.0,20.0,0.9959,0.56,low
<= 1.5,3.00 - 3.25,9.0 - 9.5,7.6,0.68,0.02,0.07200000000000001,9.0,20.0,0.9965,1.08,low
1.5 - 2.0,3.25 - 3.50,9.5 - 10.0,7.8,0.53,0.04,0.076,17.0,31.0,0.9964,0.56,high
> 3.0,3.25 - 3.50,9.0 - 9.5,7.4,0.6,0.26,0.07,36.0,121.0,0.9982,0.49,low
> 3.0,3.25 - 3.50,9.0 - 9.5,7.3,0.59,0.26,0.07,35.0,121.0,0.9981,0.49,low
1.5 - 2.0,3.00 - 3.25,9.0 - 9.5,7.8,0.63,0.48,0.1,14.0,96.0,0.9961,0.62,low
2.0 - 2.5,3.25 - 3.50,10.0 - 10.5,6.8,0.64,0.1,0.085,18.0,101.0,0.9956,0.52,low
1.5 - 2.0,3.25 - 3.50,<= 9.0,7.3,0.55,0.03,0.07200000000000001,17.0,42.0,0.9956,0.48,low
2.0 - 2.5,3.25 - 3.50,10.0 - 10.5,6.8,0.63,0.07,0.08900000000000001,11.0,44.0,0.9953,0.55,high
1.5 - 2.0,2.74 - 3.00,9.0 - 9.5,7.5,0.705,0.24,0.36,15.0,63.0,0.9964,1.59,low
1.5 - 2.0,3.25 - 3.50,9.0 - 9.5,7.9,0.885,0.03,0.057999999999999996,4.0,8.0,0.9972,0.33,low
1.5 - 2.0,3.25 - 3.50,9.0 - 9.5,8.0,0.42,0.17,0.073,6.0,18.0,0.9972,0.61,high
1.5 - 2.0,3.25 - 3.50,9.0 - 9.5,8.0,0.42,0.17,0.073,6.0,18.0,0.9972,0.61,high
1.5 - 2.0,3.25 - 3.50,11.0 - 11.5,7.4,0.62,0.05,0.068,24.0,42.0,0.9961,0.57,high
1.5 - 2.0,3.25 - 3.50,9.0 - 9.5,7.3,0.38,0.21,0.08,7.0,35.0,0.9961,0.47,low
<= 1.5,3.25 - 3.50,9.0 - 9.5,6.9,0.5,0.04,0.085,19.0,49.0,0.9958,0.78,low
1.5 - 2.0,3.25 - 3.50,9.0 - 9.5,7.3,0.38,0.21,0.08,7.0,35.0,0.9961,0.47,low
2.0 - 2.5,3.50 - 3.75,10.0 - 10.5,7.5,0.52,0.42,0.087,8.0,38.0,0.9972,0.61,high
2.0 - 2.5,3.25 - 3.50,9.5 - 10.0,7.0,0.805,0.0,0.068,7.0,20.0,0.9969,0.56,low
2.0 - 2.5,3.00 - 3.25,9.0 - 9.5,8.8,0.61,0.14,0.067,10.0,42.0,0.9969,0.59,low
2.0 - 2.5,3.00 - 3.25,9.0 - 9.5,8.8,0.61,0.14,0.067,10.0,42.0,0.9969,0.59,low
1.5 - 2.0,3.00 - 3.25,9.0 - 9.5,8.9,0.61,0.49,0.27,23.0,110.0,0.9972,1.02,low
2.0 - 2.5,3.25 - 3.50,9.0 - 9.5,7.2,0.73,0.02,0.076,16.0,42.0,0.9972,0.52,low
1.5 - 2.0,3.50 - 3.75,9.0 - 9.5,6.8,0.61,0.2,0.077,11.0,65.0,0.9971,0.58,low
1.5 - 2.0,3.50 - 3.75,9.0 - 9.5,6.7,0.62,0.21,0.079,8.0,62.0,0.997,0.58,high
1.5 - 2.0,3.25 - 3.50,9.5 - 10.0,8.9,0.31,0.57,0.111,26.0,85.0,0.9971,0.53,low
1.5 - 2.0,3.25 - 3.50,9.0 - 9.5,7.4,0.39,0.48,0.08199999999999999,14.0,67.0,0.9972,0.55,low
2.5 - 3.0,3.25 - 3.50,9.5 - 10.0,7.7,0.705,0.1,0.084,9.0,26.0,0.9976,0.49,low
1.5 - 2.0,3.00 - 3.25,9.0 - 9.5,7.9,0.5,0.33,0.084,15.0,143.0,0.9968,0.55,low
1.5 - 2.0,3.00 - 3.25,9.0 - 9.5,7.9,0.49,0.32,0.08199999999999999,17.0,144.0,0.9968,0.55,low
2.5 - 3.0,3.00 - 3.25,9.0 - 9.5,8.2,0.5,0.35,0.077,21.0,127.0,0.9976,0.62,low
1.5 - 2.0,3.50 - 3.75,9.5 - 10.0,6.4,0.37,0.25,0.07400000000000001,21.0,49.0,0.9974,0.62,high
> 3.0,3.25 - 3.50,9.0 - 9.5,6.8,0.63,0.12,0.099,16.0,126.0,0.9969,0.61,low
2.0 - 2.5,3.25 - 3.50,9.5 - 10.0,7.6,0.55,0.21,0.071,7.0,28.0,0.9964,0.55,low
2.0 - 2.5,3.25 - 3.50,9.5 - 10.0,7.6,0.55,0.21,0.071,7.0,28.0,0.9964,0.55,low
1.5 - 2.0,3.00 - 3.25,9.0 - 9.5,7.8,0.59,0.33,0.07400000000000001,24.0,120.0,0.9968,0.54,low
2.0 - 2.5,3.25 - 3.50,10.0 - 10.5,7.3,0.58,0.3,0.07400000000000001,15.0,55.0,0.9968,0.59,low
1.5 - 2.0,3.00 - 3.25,10.0 - 10.5,11.5,0.3,0.6,0.067,12.0,27.0,0.9981,0.97,high
<= 1.5,3.50 - 3.75,> 12.0,5.4,0.835,0.08,0.046,13.0,93.0,0.9924,0.85,high
2.0 - 2.5,3.50 - 3.75,11.0 - 11.5,6.9,1.09,0.06,0.061,12.0,31.0,0.9948,0.43,low
<= 1.5,3.00 - 3.25,10.0 - 10.5,9.6,0.32,0.47,0.055999999999999994,9.0,24.0,0.99695,0.82,high
2.0 - 2.5,3.00 - 3.25,9.0 - 9.5,8.8,0.37,0.48,0.09699999999999999,39.0,145.0,0.9975,1.03,low
<= 1.5,3.25 - 3.50,9.0 - 9.5,6.8,0.5,0.11,0.075,16.0,49.0,0.99545,0.79,low
1.5 - 2.0,3.25 - 3.50,9.0 - 9.5,7.0,0.42,0.35,0.08800000000000001,16.0,39.0,0.9961,0.55,low
1.5 - 2.0,3.25 - 3.50,9.0 - 9.5,7.0,0.43,0.36,0.08900000000000001,14.0,37.0,0.99615,0.56,high
2.5 - 3.0,3.00 - 3.25,10.5 - 11.0,12.8,0.3,0.74,0.095,9.0,28.0,0.9994,0.77,high
2.5 - 3.0,3.00 - 3.25,10.5 - 11.0,12.8,0.3,0.74,0.095,9.0,28.0,0.9994,0.77,high
1.5 - 2.0,3.25 - 3.50,9.0 - 9.5,7.8,0.57,0.31,0.069,26.0,120.0,0.99625,0.53,low
2.5 - 3.0,3.00 - 3.25,9.0 - 9.5,7.8,0.44,0.28,0.1,18.0,95.0,0.9966,0.67,low
2.0 - 2.5,3.25 - 3.50,10.0 - 10.5,11.0,0.3,0.58,0.054000000000000006,7.0,19.0,0.998,0.88,high
1.5 - 2.0,3.25 - 3.50,> 12.0,9.7,0.53,0.6,0.039,5.0,19.0,0.99585,0.86,high
